,p,q,P,Q,aic,culc_time_in_minutes
17,1,1,0,1,3197.4886497339157,0.12
19,1,1,1,1,3198.709461423028,0.18
31,2,1,1,1,3201.1577745246786,0.17
23,1,2,1,1,3201.5796538977993,0.13
11,0,2,1,1,3201.8337553891397,0.15
35,2,2,1,1,3202.1182358138817,0.13
43,3,1,1,1,3203.3657317516945,0.15
33,2,2,0,1,3203.472293774497,0.13
21,1,2,0,1,3204.0802364908213,0.12
9,0,2,0,1,3204.2141142954833,0.12
29,2,1,0,1,3205.046267663489,0.13
47,3,2,1,1,3207.345451798635,0.15
41,3,1,0,1,3209.493595539385,0.17
45,3,2,0,1,3213.8030386659043,0.15
7,0,1,1,1,3225.0873888195465,0.15
39,3,0,1,1,3226.825407516731,0.13
18,1,1,1,0,3230.1126887102187,0.17
10,0,2,1,0,3230.762642319141,0.12
5,0,1,0,1,3232.627899550864,0.12
27,2,0,1,1,3232.633181358852,0.17
30,2,1,1,0,3232.7700632937263,0.12
22,1,2,1,0,3233.0363989696116,0.13
34,2,2,1,0,3233.4859524534986,0.15
37,3,0,0,1,3234.3631875952206,0.1
42,3,1,1,0,3235.278032827077,0.13
25,2,0,0,1,3236.1300916050745,0.12
46,3,2,1,0,3237.3674965794507,0.13
15,1,0,1,1,3253.401562866159,0.1
13,1,0,0,1,3255.518468497884,0.08
6,0,1,1,0,3259.8203176374286,0.1
32,2,2,0,0,3259.922837123902,0.05
44,3,2,0,0,3262.4614480304017,0.13
8,0,2,0,0,3263.049051132706,0.05
16,1,1,0,0,3263.453831879425,0.05
38,3,0,1,0,3264.27131801894,0.12
20,1,2,0,0,3265.2904238434735,0.05
28,2,1,0,0,3266.392473396258,0.03
40,3,1,0,0,3270.7585975820825,0.05
26,2,0,1,0,3275.1289608883926,0.08
3,0,0,1,1,3276.2151402624186,0.08
1,0,0,0,1,3277.5216985075476,0.03
4,0,1,0,0,3284.276211555941,0.03
36,3,0,0,0,3297.8129325249747,0.03
14,1,0,1,0,3298.31732245589,0.07
24,2,0,0,0,3317.797815361476,0.02
2,0,0,1,0,3323.7831242167786,0.07
12,1,0,0,0,3337.7357316255275,0.02
0,0,0,0,0,3368.886200557957,0.0
