,p,q,P,Q,aic,culc_time_in_minutes
28,1,1,2,0,6124.679852468709,0.72
27,1,1,1,1,6125.009706212582,0.42
30,1,1,3,0,6125.229197810515,0.82
29,1,1,2,1,6125.390052425089,0.7
31,1,1,3,1,6128.535725003321,1.23
25,1,1,0,1,6129.625199266025,0.5
26,1,1,1,0,6146.211609434669,0.38
35,2,0,1,1,6177.02620878808,0.18
11,0,1,1,1,6178.297159306998,0.43
43,2,1,1,1,6179.0249372757135,0.33
36,2,0,2,0,6183.517743804487,0.27
38,2,0,3,0,6184.059901662882,0.53
37,2,0,2,1,6184.14477869855,0.4
12,0,1,2,0,6184.184753856649,0.48
14,0,1,3,0,6184.648509274541,0.72
13,0,1,2,1,6184.740285254049,0.5
44,2,1,2,0,6185.515116783346,0.32
46,2,1,3,0,6186.059430609102,0.6
45,2,1,2,1,6186.143137598705,0.53
19,1,0,1,1,6187.24344209833,0.3
39,2,0,3,1,6187.517576733822,0.8
15,0,1,3,1,6187.867027809308,1.97
47,2,1,3,1,6188.135168568035,1.42
33,2,0,0,1,6189.889798204933,0.08
9,0,1,0,1,6190.290046064585,0.25
41,2,1,0,1,6191.869505320416,0.12
20,1,0,2,0,6192.558675534957,0.47
22,1,0,3,0,6193.094627532594,0.88
21,1,0,2,1,6193.112121259173,0.7
40,2,1,0,0,6194.632263448111,0.08
24,1,1,0,0,6195.853781764959,0.13
23,1,0,3,1,6196.039599509739,2.25
17,1,0,0,1,6197.955260983183,0.13
10,0,1,1,0,6206.867733702706,0.2
34,2,0,1,0,6207.146344554617,0.1
42,2,1,1,0,6209.139871728824,0.18
18,1,0,1,0,6213.682383587009,0.13
3,0,0,1,1,6216.477758140678,0.13
4,0,0,2,0,6222.2348237761225,0.27
6,0,0,3,0,6222.745324979068,0.53
5,0,0,2,1,6222.749468957563,0.35
7,0,0,3,1,6224.679611997059,0.97
1,0,0,0,1,6226.657054081479,0.12
2,0,0,1,0,6241.362313304623,0.17
8,0,1,0,0,6250.737384372667,0.03
32,2,0,0,0,6251.751938887468,0.0
16,1,0,0,0,6257.175022048608,0.0
0,0,0,0,0,6285.755512359873,0.03
