,p,q,P,Q,aic,culc_time_in_minutes
23,1,1,2,1,5780.011766667587,0.55
47,3,1,2,1,5782.281943475093,0.77
35,2,1,2,1,5782.562855332055,0.75
59,4,1,2,1,5782.870098159874,1.02
21,1,1,1,1,5788.112094512289,0.22
33,2,1,1,1,5790.087856411966,0.32
45,3,1,1,1,5790.518598384138,0.18
57,4,1,1,1,5791.319896365405,0.63
19,1,1,0,1,5802.183212913711,0.22
43,3,1,0,1,5803.2963095814885,0.38
55,4,1,0,1,5803.909369048859,0.38
31,2,1,0,1,5804.186760662435,0.27
22,1,1,2,0,5819.923214737371,0.43
46,3,1,2,0,5821.730490895428,0.83
34,2,1,2,0,5822.116894612771,0.68
58,4,1,2,0,5822.554890103278,0.92
44,3,1,1,0,5835.427789512735,0.27
20,1,1,1,0,5835.819372443461,0.18
32,2,1,1,0,5837.797168414138,0.45
56,4,1,1,0,5837.939103344944,0.5
53,4,0,2,1,5848.902135465265,0.55
41,3,0,2,1,5849.431817846011,0.83
11,0,1,2,1,5852.192495306083,0.4
51,4,0,1,1,5853.877077498805,0.38
29,2,0,2,1,5853.9550388521175,0.53
39,3,0,1,1,5855.479194589085,0.2
9,0,1,1,1,5856.803926495688,0.27
17,1,0,2,1,5857.220422902424,0.48
27,2,0,1,1,5860.137538704641,0.1
15,1,0,1,1,5861.485977677107,0.23
5,0,0,2,1,5872.986793060292,0.25
49,4,0,0,1,5873.219445272938,0.23
37,3,0,0,1,5874.891049541235,0.18
7,0,1,0,1,5876.486055065825,0.12
3,0,0,1,1,5877.221809605416,0.1
25,2,0,0,1,5878.576962264058,0.27
13,1,0,0,1,5881.070796009149,0.12
52,4,0,2,0,5888.274002340519,0.73
40,3,0,2,0,5891.433638001301,0.42
10,0,1,2,0,5894.240113845869,0.33
28,2,0,2,0,5896.864753249492,0.37
1,0,0,0,1,5897.234471792536,0.05
16,1,0,2,0,5899.177849855568,0.35
50,4,0,1,0,5903.009472866631,0.33
38,3,0,1,0,5907.213401997157,0.15
8,0,1,1,0,5912.421930314487,0.1
26,2,0,1,0,5914.959311335321,0.15
4,0,0,2,0,5916.171890076422,0.15
14,1,0,1,0,5916.202638904464,0.1
2,0,0,1,0,5930.13209209655,0.12
42,3,1,0,0,5931.063605007953,0.18
18,1,1,0,0,5931.28743690439,0.15
54,4,1,0,0,5933.094913301127,0.18
30,2,1,0,0,5933.454969880518,0.08
48,4,0,0,0,5987.4600553028895,0.0
36,3,0,0,0,5992.9677575548285,0.0
6,0,1,0,0,6001.226451234195,0.03
12,1,0,0,0,6004.399661783276,0.0
24,2,0,0,0,6004.644421504927,0.0
0,0,0,0,0,6016.087846232558,0.02
