,p,q,P,Q,aic,culc_time_in_minutes
43,3,1,1,1,2850.6666831632374,0.15
47,3,2,1,1,2853.594801215913,0.15
19,1,1,1,1,2853.897601116365,0.15
11,0,2,1,1,2854.969669915444,0.12
35,2,2,1,1,2856.0446131819735,0.12
31,2,1,1,1,2856.1362006991963,0.17
23,1,2,1,1,2856.222521339905,0.12
17,1,1,0,1,2858.610782724138,0.12
29,2,1,0,1,2861.3879532208703,0.13
21,1,2,0,1,2861.429903717802,0.12
45,3,2,0,1,2862.276358117797,0.13
41,3,1,0,1,2862.6843305044736,0.13
33,2,2,0,1,2862.753448678505,0.12
9,0,2,0,1,2864.2775038682585,0.12
27,2,0,1,1,2874.0493339968198,0.13
39,3,0,1,1,2874.201694731059,0.12
25,2,0,0,1,2881.351861655963,0.12
7,0,1,1,1,2882.0217821986057,0.12
37,3,0,0,1,2882.211384486945,0.13
5,0,1,0,1,2886.514235901888,0.12
10,0,2,1,0,2891.6292833852226,0.1
22,1,2,1,0,2892.4964713127774,0.13
42,3,1,1,0,2892.58566435454,0.13
18,1,1,1,0,2893.957986114549,0.13
30,2,1,1,0,2894.067168726069,0.13
34,2,2,1,0,2894.1139716478633,0.13
46,3,2,1,0,2894.484692960268,0.13
15,1,0,1,1,2903.5081039457027,0.12
13,1,0,0,1,2904.1837123976857,0.07
3,0,0,1,1,2920.2147858711623,0.1
1,0,0,0,1,2921.3103213218565,0.03
38,3,0,1,0,2924.718329190572,0.07
26,2,0,1,0,2927.1372977378905,0.07
40,3,1,0,0,2931.1176926591975,0.05
6,0,1,1,0,2931.904249944,0.08
44,3,2,0,0,2933.3426025345216,0.05
8,0,2,0,0,2933.6466291035067,0.05
32,2,2,0,0,2933.732657239555,0.05
20,1,2,0,0,2936.316501133145,0.05
16,1,1,0,0,2938.051555213346,0.03
28,2,1,0,0,2939.4182324251465,0.03
14,1,0,1,0,2956.726643876511,0.08
36,3,0,0,0,2963.1136566892337,0.03
24,2,0,0,0,2965.743420649225,0.02
2,0,0,1,0,2970.796488152926,0.05
4,0,1,0,0,2971.599475124229,0.02
12,1,0,0,0,3010.924279771107,0.02
0,0,0,0,0,3029.4416376796435,0.0
