,p,q,P,Q,aic,culc_time_in_minutes
23,2,1,1,1,6211.680994260898,0.63
21,2,1,0,1,6222.138829159306,0.5
22,2,1,1,0,6244.997390076593,0.58
7,0,1,1,1,6249.9515981890345,0.55
31,3,1,1,1,6251.755085279059,0.52
19,2,0,1,1,6251.849416614474,0.73
15,1,1,1,1,6251.941109547281,0.47
11,1,0,1,1,6252.041977091538,0.47
27,3,0,1,1,6252.833771384285,0.62
29,3,1,0,1,6264.102302374767,0.67
5,0,1,0,1,6266.060664519866,0.32
9,1,0,0,1,6267.100034824774,0.32
13,1,1,0,1,6267.381647303598,0.47
25,3,0,0,1,6267.54017446249,0.35
17,2,0,0,1,6267.97893051843,0.33
30,3,1,1,0,6286.483523456758,0.48
26,3,0,1,0,6289.61888883854,0.35
10,1,0,1,0,6290.219418104876,0.25
6,0,1,1,0,6290.351151388422,0.23
14,1,1,1,0,6291.52537168967,0.35
18,2,0,1,0,6291.878800070504,0.32
3,0,0,1,1,6301.180204542805,0.3
20,2,1,0,0,6316.560215242955,0.15
1,0,0,0,1,6316.839336010187,0.22
2,0,0,1,0,6337.2319228451925,0.35
8,1,0,0,0,6356.186346587564,0.02
28,3,1,0,0,6357.069321734076,0.13
4,0,1,0,0,6357.210958955981,0.03
12,1,1,0,0,6357.531533485762,0.1
16,2,0,0,0,6357.676100269158,0.12
24,3,0,0,0,6357.76535198077,0.03
0,0,0,0,0,6401.442224223318,0.05
