,p,q,P,Q,aic,culc_time_in_minutes
61,2,1,2,1,5937.134329578556,0.58
85,3,1,2,1,5938.801151255397,0.63
63,2,1,3,1,5939.103547914765,1.05
47,1,2,3,1,5939.640765502156,0.98
37,1,1,2,1,5940.244696630443,0.57
87,3,1,3,1,5940.808183636273,1.08
93,3,2,2,1,5941.113798801642,0.62
45,1,2,2,1,5942.5921726144825,0.67
95,3,2,3,1,5943.1020046610265,1.22
69,2,2,2,1,5945.888207251628,0.63
39,1,1,3,1,5946.133853845883,0.98
71,2,2,3,1,5948.109070921424,1.18
59,2,1,1,1,5948.99799819797,0.23
83,3,1,1,1,5951.738578793383,0.23
43,1,2,1,1,5952.377145736799,0.23
41,1,2,0,1,5956.008071372724,0.22
57,2,1,0,1,5956.2969628857445,0.23
91,3,2,1,1,5956.410331599647,0.23
35,1,1,1,1,5957.475167340268,0.23
89,3,2,0,1,5957.813644454728,0.23
81,3,1,0,1,5959.79264265202,0.25
33,1,1,0,1,5962.29192822313,0.2
67,2,2,1,1,5962.433197708626,0.27
65,2,2,0,1,5963.072683738865,0.33
62,2,1,3,0,5980.808778822225,1.03
46,1,2,3,0,5984.841950583239,0.95
86,3,1,3,0,5985.905305382755,1.02
21,0,2,2,1,5986.006968501246,0.67
60,2,1,2,0,5987.548230243532,0.53
13,0,1,2,1,5987.799178151246,0.6
23,0,2,3,1,5988.104742145415,1.0
94,3,2,3,0,5988.192105912645,1.05
84,3,1,2,0,5989.372415322525,0.6
15,0,1,3,1,5989.738609134651,1.08
44,1,2,2,0,5992.228225407759,0.48
38,1,1,3,0,5992.284888440213,0.83
70,2,2,3,0,5992.306501924889,1.08
77,3,0,2,1,5993.729494863797,0.58
36,1,1,2,0,5994.116480178129,0.48
53,2,0,2,1,5994.31262299168,0.62
92,3,2,2,0,5995.384084596446,0.58
79,3,0,3,1,5995.676455653867,0.98
55,2,0,3,1,5996.291332347276,0.97
19,0,2,1,1,5998.666702026094,0.28
68,2,2,2,0,5998.779949988082,0.65
11,0,1,1,1,5999.343990824954,0.27
58,2,1,1,0,6002.320623152905,0.23
42,1,2,1,0,6003.102043141397,0.23
51,2,0,1,1,6003.753874980259,0.2
75,3,0,1,1,6004.0345546491935,0.2
82,3,1,1,0,6007.088691102676,0.22
29,1,0,2,1,6008.645562221314,0.35
31,1,0,3,1,6010.63160467263,0.82
9,0,1,0,1,6012.762798906766,0.27
17,0,2,0,1,6012.916825410995,0.25
34,1,1,1,0,6013.043440536059,0.17
90,3,2,1,0,6013.327401340573,0.18
66,2,2,1,0,6015.347533970727,0.23
49,2,0,0,1,6017.828276025311,0.2
73,3,0,0,1,6018.313343738512,0.15
27,1,0,1,1,6019.513537254051,0.17
25,1,0,0,1,6028.0475860325605,0.22
22,0,2,3,0,6036.741048722652,1.0
14,0,1,3,0,6038.00596563153,0.8
20,0,2,2,0,6041.752357883985,0.62
12,0,1,2,0,6043.3921528419605,0.57
78,3,0,3,0,6044.029493754024,0.78
54,2,0,3,0,6045.189001386524,0.82
76,3,0,2,0,6050.392644481859,0.5
52,2,0,2,0,6051.809087046772,0.35
18,0,2,1,0,6057.117219059821,0.25
30,1,0,3,0,6057.390804791656,0.58
10,0,1,1,0,6060.729706244276,0.22
28,1,0,2,0,6064.90072073881,0.33
5,0,0,2,1,6066.956305121065,0.57
74,3,0,1,0,6068.303729578123,0.22
7,0,0,3,1,6068.936359137019,1.03
50,2,0,1,0,6071.356060002563,0.17
3,0,0,1,1,6074.664979858986,0.28
1,0,0,0,1,6082.594966512657,0.13
26,1,0,1,0,6084.545929953474,0.18
6,0,0,3,0,6115.904903614669,0.65
4,0,0,2,0,6128.038269604243,0.45
88,3,2,0,0,6129.219389429725,0.12
80,3,1,0,0,6141.267525587891,0.1
40,1,2,0,0,6141.7825820845055,0.1
56,2,1,0,0,6144.028954302195,0.1
2,0,0,1,0,6147.521626881427,0.12
32,1,1,0,0,6155.965634027032,0.08
64,2,2,0,0,6169.769158337089,0.1
16,0,2,0,0,6181.660696460727,0.1
8,0,1,0,0,6182.102667731071,0.07
72,3,0,0,0,6186.253131004994,0.07
48,2,0,0,0,6188.53499336685,0.08
24,1,0,0,0,6212.777701777179,0.03
0,0,0,0,0,6274.057851958944,0.02
