,p,q,P,Q,aic,culc_time_in_minutes
35,2,1,2,1,5902.929292261683,0.63
33,2,1,1,1,5909.575525791601,0.3
23,1,1,2,1,5912.865597753689,0.52
31,2,1,0,1,5921.320275223568,0.23
34,2,1,2,0,5927.259422025601,0.6
19,1,1,0,1,5931.372644232337,0.23
22,1,1,2,0,5939.293268408572,0.5
32,2,1,1,0,5941.889563124464,0.23
11,0,1,2,1,5947.65333024538,0.48
29,2,0,2,1,5949.71157092629,0.55
9,0,1,1,1,5952.131116077934,0.25
20,1,1,1,0,5953.3676548773765,0.22
21,1,1,1,1,5954.083456972606,0.28
27,2,0,1,1,5954.241788771347,0.3
17,1,0,2,1,5960.2156554503,0.43
15,1,0,1,1,5965.602445400606,0.25
7,0,1,0,1,5970.670153753025,0.1
25,2,0,0,1,5972.98268309024,0.13
10,0,1,2,0,5975.926558307421,0.33
28,2,0,2,0,5978.39576508521,0.42
13,1,0,0,1,5980.225680921936,0.1
16,1,0,2,0,5986.245235031216,0.32
8,0,1,1,0,5990.118766176419,0.08
26,2,0,1,0,5992.404631462798,0.22
14,1,0,1,0,5999.295131119952,0.13
30,2,1,0,0,6004.0560747461195,0.08
5,0,0,2,1,6015.689861377826,0.48
3,0,0,1,1,6023.74892653364,0.1
1,0,0,0,1,6035.6054893590535,0.1
4,0,0,2,0,6044.3664881094555,0.23
6,0,1,0,0,6048.9827935161975,0.02
18,1,1,0,0,6050.968122336052,0.05
24,2,0,0,0,6051.39395727397,0.03
2,0,0,1,0,6054.990702343503,0.08
12,1,0,0,0,6061.167457016561,0.05
0,0,0,0,0,6128.300734400591,0.02
