,p,q,P,Q,aic,culc_time_in_minutes
35,2,2,1,1,3310.904873121715,0.22
19,1,1,1,1,3321.655955550111,0.13
27,2,0,1,1,3321.8826280128324,0.17
23,1,2,1,1,3323.0796022799886,0.18
31,2,1,1,1,3323.210832435766,0.17
15,1,0,1,1,3324.2892826711,0.15
11,0,2,1,1,3324.984164250398,0.18
7,0,1,1,1,3328.0338482036473,0.18
25,2,0,0,1,3337.040092050694,0.1
17,1,1,0,1,3337.2145216681856,0.13
3,0,0,1,1,3338.6685480592378,0.13
21,1,2,0,1,3338.772092959768,0.17
29,2,1,0,1,3338.994468481682,0.12
13,1,0,0,1,3339.366639145871,0.12
9,0,2,0,1,3340.2626524328493,0.18
33,2,2,0,1,3340.4877419080076,0.17
5,0,1,0,1,3343.96893466327,0.17
26,2,0,1,0,3348.016740404403,0.13
18,1,1,1,0,3348.7535054299215,0.15
22,1,2,1,0,3349.6053234719984,0.18
30,2,1,1,0,3350.2078590185392,0.12
10,0,2,1,0,3350.26423646512,0.13
14,1,0,1,0,3350.8588502097177,0.15
34,2,2,1,0,3351.86238141328,0.12
6,0,1,1,0,3353.909490129755,0.12
1,0,0,0,1,3356.2259077958024,0.12
2,0,0,1,0,3362.4564481573134,0.25
24,2,0,0,0,3377.4655131844,0.02
16,1,1,0,0,3377.907399550612,0.0
20,1,2,0,0,3378.9455023864152,0.07
8,0,2,0,0,3378.9969915617467,0.0
28,2,1,0,0,3379.0043789690444,0.05
12,1,0,0,0,3379.8935528159077,0.0
32,2,2,0,0,3380.173708688431,0.07
4,0,1,0,0,3381.738556954351,0.0
0,0,0,0,0,3386.5797982206304,0.0
