,p,q,P,Q,aic,culc_time_in_minutes
65,2,2,2,1,6128.418303330922,0.68
63,2,2,1,1,6146.678121238181,0.33
69,2,3,1,1,6147.659576088139,0.3
41,1,2,2,1,6149.9725241501355,1.05
61,2,2,0,1,6151.3652868779245,0.27
53,2,0,2,1,6154.227535004399,0.97
47,1,3,2,1,6155.787082724914,0.87
35,1,1,2,1,6157.635646669727,1.12
59,2,1,2,1,6158.462512251068,0.67
39,1,2,1,1,6161.549395059277,0.42
71,2,3,2,1,6162.921142843329,0.78
29,1,0,2,1,6163.087737439742,0.78
51,2,0,1,1,6165.43904504931,0.42
45,1,3,1,1,6168.895416729606,0.38
33,1,1,1,1,6169.212798399625,0.48
23,0,3,2,1,6170.844105584178,1.13
57,2,1,1,1,6171.694462013456,0.48
64,2,2,2,0,6172.827963954625,0.67
27,1,0,1,1,6174.95761351514,0.5
55,2,1,0,1,6176.453529623221,0.35
37,1,2,0,1,6179.507078870778,0.63
67,2,3,0,1,6180.676055062126,0.28
43,1,3,0,1,6180.950543399625,0.5
21,0,3,1,1,6181.023346137598,0.32
49,2,0,0,1,6184.574513282056,0.35
31,1,1,0,1,6188.585060621615,0.38
40,1,2,2,0,6193.812910937129,0.63
25,1,0,0,1,6194.220959132854,0.28
17,0,2,2,1,6194.310880289868,0.93
58,2,1,2,0,6194.488829769418,0.8
46,1,3,2,0,6195.30574205813,0.98
62,2,2,1,0,6195.815770121992,0.27
52,2,0,2,0,6196.8108698863725,0.88
70,2,3,2,0,6196.950525303189,0.7
19,0,3,0,1,6198.266502888548,0.57
34,1,1,2,0,6200.626664970199,1.05
15,0,2,1,1,6206.75120220049,0.4
28,1,0,2,0,6207.097683479302,0.95
56,2,1,1,0,6208.866340256659,0.23
38,1,2,1,0,6210.506869237163,0.27
44,1,3,1,0,6212.24709762422,0.28
22,0,3,2,0,6212.801136673115,0.9
50,2,0,1,0,6214.067545602242,0.25
32,1,1,1,0,6217.295023549126,0.55
13,0,2,0,1,6220.212848179635,0.45
26,1,0,1,0,6222.868039220229,0.57
68,2,3,1,0,6222.931373399739,0.25
20,0,3,1,0,6231.7099152025485,0.27
16,0,2,2,0,6234.263623185003,0.6
14,0,2,1,0,6250.666554202861,0.27
11,0,1,2,1,6271.1826835818465,0.83
9,0,1,1,1,6281.182389692196,0.27
60,2,2,0,0,6284.517999223371,0.08
7,0,1,0,1,6297.907468374444,0.3
66,2,3,0,0,6301.675791481744,0.12
10,0,1,2,0,6309.651389818626,0.33
36,1,2,0,0,6314.394318377632,0.13
42,1,3,0,0,6316.462643709223,0.23
48,2,0,0,0,6316.544768815069,0.12
54,2,1,0,0,6316.726234795226,0.13
30,1,1,0,0,6320.410251773039,0.17
24,1,0,0,0,6329.444079408364,0.08
18,0,3,0,0,6332.1312596475755,0.12
8,0,1,1,0,6333.028736831782,0.25
12,0,2,0,0,6360.238643520218,0.13
5,0,0,2,1,6423.018913794416,0.72
3,0,0,1,1,6430.130358548365,0.25
6,0,1,0,0,6436.825746712839,0.1
1,0,0,0,1,6443.000125092116,0.18
4,0,0,2,0,6453.765783027172,0.8
2,0,0,1,0,6488.861214319203,0.17
0,0,0,0,0,6586.1819836983295,0.02
