,p,q,P,Q,aic,culc_time_in_minutes
45,2,1,2,1,6048.0085246455465,0.62
47,2,1,3,1,6049.81443812887,1.17
29,1,1,2,1,6054.60574391307,0.55
31,1,1,3,1,6056.288675169731,0.85
41,2,1,0,1,6063.284294918083,0.22
43,2,1,1,1,6063.982357083007,0.25
27,1,1,1,1,6066.790286935769,0.27
46,2,1,3,0,6069.504476655951,1.12
44,2,1,2,0,6070.636029692205,0.55
25,1,1,0,1,6070.75178545852,0.2
42,2,1,1,0,6076.055540912079,0.23
30,1,1,3,0,6076.868411416276,0.8
28,1,1,2,0,6078.544216086875,0.5
26,1,1,1,0,6083.314643540687,0.32
13,0,1,2,1,6099.049458052514,0.6
15,0,1,3,1,6100.92652101314,1.17
37,2,0,2,1,6104.961699671269,0.52
39,2,0,3,1,6106.877904388614,0.97
11,0,1,1,1,6107.516430619525,0.42
35,2,0,1,1,6112.733696073294,0.23
9,0,1,0,1,6117.4588282573,0.27
33,2,0,0,1,6123.611454842834,0.12
14,0,1,3,0,6123.821469083431,0.93
21,1,0,2,1,6124.2496527120275,0.53
12,0,1,2,0,6124.48759970645,0.45
23,1,0,3,1,6126.075196629277,0.98
38,2,0,3,0,6130.1063556419385,0.67
10,0,1,1,0,6130.890321456254,0.23
36,2,0,2,0,6131.155450444054,0.37
19,1,0,1,1,6131.891169819908,0.25
34,2,0,1,0,6138.368246777511,0.15
17,1,0,0,1,6139.1148477670995,0.2
22,1,0,3,0,6145.123537931129,0.78
20,1,0,2,0,6146.733694840854,0.3
18,1,0,1,0,6152.56240252193,0.22
40,2,1,0,0,6153.490479659583,0.07
24,1,1,0,0,6164.447735730266,0.08
5,0,0,2,1,6184.397685484861,0.5
7,0,0,3,1,6184.968028011188,1.12
3,0,0,1,1,6191.5981002828685,0.17
8,0,1,0,0,6198.8350997119205,0.07
1,0,0,0,1,6200.587652885348,0.12
32,2,0,0,0,6205.0296510950175,0.05
6,0,0,3,0,6205.619830079761,0.63
4,0,0,2,0,6209.949378527685,0.38
2,0,0,1,0,6214.322671287122,0.08
16,1,0,0,0,6221.671010179915,0.07
0,0,0,0,0,6282.655694415393,0.03
