,p,q,P,Q,aic,culc_time_in_minutes
23,1,2,1,1,3316.3105898550675,0.18
22,1,2,1,0,3316.6211240821294,0.18
21,1,2,0,1,3316.6439358133616,0.13
17,1,1,0,1,3317.579596113211,0.13
19,1,1,1,1,3317.7720191249173,0.15
18,1,1,1,0,3317.7844075267426,0.13
13,1,0,0,1,3318.9772676481325,0.12
14,1,0,1,0,3319.130127198207,0.15
15,1,0,1,1,3319.198874273084,0.12
9,0,2,0,1,3323.518005606991,0.17
10,0,2,1,0,3323.5998514325584,0.1
11,0,2,1,1,3323.876877839686,0.17
20,1,2,0,0,3325.853511224108,0.05
16,1,1,0,0,3326.155446107484,0.05
12,1,0,0,0,3327.5395394733846,0.02
8,0,2,0,0,3332.009561899029,0.05
5,0,1,0,1,3340.918406870102,0.08
6,0,1,1,0,3341.0064850135286,0.08
7,0,1,1,1,3342.1707786569045,0.1
4,0,1,0,0,3347.9165908908262,0.02
1,0,0,0,1,3387.3422748220855,0.12
2,0,0,1,0,3387.5024100498467,0.08
3,0,0,1,1,3389.29055274901,0.1
0,0,0,0,0,3392.67019899575,0.02
