,p,q,P,Q,aic,culc_time_in_minutes
35,2,1,2,1,5803.890035078152,0.65
23,1,1,2,1,5807.195220781054,0.6
33,2,1,1,1,5817.001357255829,0.33
21,1,1,1,1,5820.460960979784,0.25
31,2,1,0,1,5822.296859784561,0.3
19,1,1,0,1,5825.625488512802,0.33
34,2,1,2,0,5831.061591473384,0.77
22,1,1,2,0,5834.8308707578435,0.53
32,2,1,1,0,5840.401273225534,0.33
20,1,1,1,0,5841.580135842708,0.23
11,0,1,2,1,5847.646134356826,0.52
29,2,0,2,1,5847.702283377375,0.4
27,2,0,1,1,5857.020773883446,0.1
9,0,1,1,1,5857.263081179793,0.23
17,1,0,2,1,5857.9959548851775,0.55
7,0,1,0,1,5868.204516855189,0.3
15,1,0,1,1,5868.7945279074,0.17
25,2,0,0,1,5869.835624266024,0.15
10,0,1,2,0,5875.380177985379,0.52
13,1,0,0,1,5877.2024904446125,0.13
28,2,0,2,0,5877.56906539065,0.37
16,1,0,2,0,5883.880968121273,0.37
8,0,1,1,0,5887.175948149261,0.23
5,0,0,2,1,5888.57778835285,0.8
26,2,0,1,0,5889.916012813253,0.22
14,1,0,1,0,5893.201295734905,0.17
3,0,0,1,1,5901.472856022143,0.25
1,0,0,0,1,5909.223835559522,0.12
4,0,0,2,0,5915.256354600137,0.53
2,0,0,1,0,5921.176480525943,0.15
30,2,1,0,0,5929.402772768057,0.1
6,0,1,0,0,5972.795962087204,0.03
18,1,1,0,0,5973.613062153872,0.07
24,2,0,0,0,5975.291563463179,0.02
12,1,0,0,0,5979.770625126021,0.0
0,0,0,0,0,6012.97058777498,0.02
