,p,q,P,Q,aic,culc_time_in_minutes
71,2,3,2,1,5677.495945530947,0.62
69,2,3,1,1,5685.034483232458,0.4
53,2,0,2,1,5687.018812677025,0.62
59,2,1,2,1,5688.385433107,0.83
41,1,2,2,1,5688.4728009177725,1.33
47,1,3,2,1,5690.328724035184,0.73
35,1,1,2,1,5690.569492821141,1.27
51,2,0,1,1,5693.154128707334,0.25
65,2,2,2,1,5694.622710680564,0.67
57,2,1,1,1,5695.029782267249,0.35
33,1,1,1,1,5696.0815684414765,0.4
39,1,2,1,1,5696.360232265914,0.6
63,2,2,1,1,5697.354553414061,0.37
23,0,3,2,1,5697.437304376051,0.8
29,1,0,2,1,5697.593051860202,1.07
17,0,2,2,1,5698.829564912233,0.62
67,2,3,0,1,5701.735052229586,0.32
27,1,0,1,1,5703.585398910111,0.33
21,0,3,1,1,5704.324027227698,0.28
15,0,2,1,1,5707.119257905891,0.3
45,1,3,1,1,5710.8166617377965,0.42
61,2,2,0,1,5717.792274921378,0.35
55,2,1,0,1,5718.229655493451,0.25
49,2,0,0,1,5720.79573128927,0.28
37,1,2,0,1,5722.511474294426,0.52
43,1,3,0,1,5724.686165149548,0.43
31,1,1,0,1,5725.837793883045,0.4
19,0,3,0,1,5728.428184359098,0.3
70,2,3,2,0,5729.148733609563,0.65
13,0,2,0,1,5730.677608409099,0.3
25,1,0,0,1,5734.283164554872,0.32
11,0,1,2,1,5736.778878025971,0.48
58,2,1,2,0,5737.125662791403,0.62
52,2,0,2,0,5738.11920216916,0.6
64,2,2,2,0,5738.203496738507,0.65
40,1,2,2,0,5740.234655253749,1.23
9,0,1,1,1,5741.4355834968055,0.25
46,1,3,2,0,5742.692922670529,0.83
34,1,1,2,0,5742.848076139582,1.08
22,0,3,2,0,5744.498468675102,0.65
16,0,2,2,0,5745.889713141795,0.5
68,2,3,1,0,5747.275824426726,0.33
56,2,1,1,0,5750.867467529411,0.28
28,1,0,2,0,5750.871656227781,1.23
62,2,2,1,0,5752.405248692353,0.28
50,2,0,1,0,5754.303814480692,0.25
38,1,2,1,0,5754.939464704596,0.47
32,1,1,1,0,5758.9843091443445,0.42
20,0,3,1,0,5760.164724675202,0.2
14,0,2,1,0,5761.396884224963,0.23
44,1,3,1,0,5763.350709258721,0.37
26,1,0,1,0,5766.838167805743,0.32
7,0,1,0,1,5772.7807291463705,0.23
10,0,1,2,0,5786.369933086167,0.42
8,0,1,1,0,5807.487312470288,0.15
5,0,0,2,1,5811.632944244422,0.53
3,0,0,1,1,5815.803272860754,0.18
66,2,3,0,0,5831.738863763311,0.12
1,0,0,0,1,5842.688752582064,0.22
48,2,0,0,0,5850.244462142863,0.07
54,2,1,0,0,5851.224768963937,0.12
4,0,0,2,0,5851.405319066738,1.17
36,1,2,0,0,5852.274986660749,0.18
60,2,2,0,0,5852.651280329852,0.1
30,1,1,0,0,5852.68564403235,0.13
42,1,3,0,0,5854.368580231833,0.18
18,0,3,0,0,5859.910403415761,0.12
24,1,0,0,0,5860.251441047409,0.08
12,0,2,0,0,5861.636616724969,0.08
2,0,0,1,0,5882.364234001507,0.17
6,0,1,0,0,5897.051700441594,0.07
0,0,0,0,0,5971.44503439422,0.03
