,p,q,P,Q,aic,culc_time_in_minutes
45,2,1,2,1,5884.170737838025,0.5
29,1,1,2,1,5887.066109326543,0.45
43,2,1,1,1,5891.247808714348,0.22
27,1,1,1,1,5895.22913100592,0.2
41,2,1,0,1,5910.423609643665,0.18
25,1,1,0,1,5913.9732575020535,0.22
44,2,1,2,0,5915.397744464526,0.48
46,2,1,3,0,5916.354252842286,0.85
28,1,1,2,0,5920.372290626429,0.43
47,2,1,3,1,5920.666497333883,0.93
30,1,1,3,0,5922.043492778029,0.85
31,1,1,3,1,5924.361446731315,0.83
42,2,1,1,0,5926.96845566851,0.2
26,1,1,1,0,5931.037996146021,0.17
13,0,1,2,1,5939.36144733745,0.42
37,2,0,2,1,5942.253776133227,0.52
21,1,0,2,1,5942.888889982128,0.42
11,0,1,1,1,5945.493749826889,0.08
35,2,0,1,1,5948.448764547104,0.1
19,1,0,1,1,5949.519289005153,0.07
9,0,1,0,1,5968.351335448973,0.17
17,1,0,0,1,5970.598937886838,0.15
33,2,0,0,1,5971.099927770707,0.17
12,0,1,2,0,5973.119025498693,0.23
14,0,1,3,0,5974.170856733501,0.47
15,0,1,3,1,5975.418159238761,0.82
20,1,0,2,0,5975.620175492478,0.38
36,2,0,2,0,5976.038381174935,0.32
22,1,0,3,0,5976.683878073103,0.6
38,2,0,3,0,5977.065573210399,0.55
23,1,0,3,1,5978.012022949286,0.82
5,0,0,2,1,5978.547823735132,0.37
39,2,0,3,1,5978.6763024182255,0.92
10,0,1,1,0,5984.95744900257,0.13
3,0,0,1,1,5985.806960352369,0.12
18,1,0,1,0,5987.386217028523,0.08
34,2,0,1,0,5987.923621229082,0.12
40,2,1,0,0,5990.47845892399,0.08
1,0,0,0,1,6006.427690825731,0.08
4,0,0,2,0,6013.134437736641,0.3
6,0,0,3,0,6013.147863504079,0.48
7,0,0,3,1,6014.073176586046,0.77
2,0,0,1,0,6024.449407193254,0.08
8,0,1,0,0,6043.550838819275,0.02
24,1,1,0,0,6045.476560131647,0.05
32,2,0,0,0,6046.958220057664,0.0
16,1,0,0,0,6047.2001336480025,0.0
0,0,0,0,0,6090.745348337232,0.02
