,p,q,P,Q,aic,culc_time_in_minutes
25,1,1,0,1,3759.390532264616,0.2
29,1,1,2,1,3763.0466030185353,0.47
31,1,2,0,1,3765.0638939619735,0.23
27,1,1,1,1,3765.6438325488853,0.2
35,1,2,2,1,3769.919161833517,0.33
33,1,2,1,1,3772.375946365777,0.28
17,0,2,2,1,3782.3758000512025,0.45
28,1,1,2,0,3782.4522011437275,0.45
13,0,2,0,1,3786.0345439100906,0.2
15,0,2,1,1,3787.4337992648298,0.25
34,1,2,2,0,3788.6425744468856,0.52
11,0,1,2,1,3789.2029710719753,0.48
7,0,1,0,1,3790.505313475429,0.15
26,1,1,1,0,3791.0586815964602,0.18
9,0,1,1,1,3791.7135791458054,0.2
32,1,2,1,0,3795.5831940323433,0.17
19,1,0,0,1,3798.452428811166,0.15
23,1,0,2,1,3798.536134402974,0.53
21,1,0,1,1,3798.8807604667013,0.22
16,0,2,2,0,3799.489569542656,0.47
14,0,2,1,0,3808.7334874518556,0.18
10,0,1,2,0,3811.0404187282243,0.4
1,0,0,0,1,3820.8751619842524,0.08
3,0,0,1,1,3820.8817276217187,0.1
5,0,0,2,1,3821.0132380545915,0.35
22,1,0,2,0,3821.2255888367445,0.3
8,0,1,1,0,3824.1567244099033,0.12
20,1,0,1,0,3841.334755105603,0.13
4,0,0,2,0,3843.4379599710724,0.22
2,0,0,1,0,3865.8016769241553,0.08
24,1,1,0,0,3891.9840381153745,0.08
30,1,2,0,0,3893.00059280862,0.1
12,0,2,0,0,3901.405938846109,0.05
6,0,1,0,0,3925.069029518024,0.07
18,1,0,0,0,3944.8478785913176,0.0
0,0,0,0,0,3977.4666791439577,0.0
