,p,q,P,Q,aic,culc_time_in_minutes
41,2,1,0,1,6178.477970979582,0.33
47,2,1,3,1,6189.704798876639,1.47
11,0,1,1,1,6195.845665553017,0.2
13,0,1,2,1,6196.352650129793,0.42
35,2,0,1,1,6197.664978824845,0.18
27,1,1,1,1,6197.705452965236,0.27
37,2,0,2,1,6198.025342696852,0.63
29,1,1,2,1,6198.2109180744255,0.77
42,2,1,1,0,6198.508628213707,0.33
43,2,1,1,1,6199.648047616737,0.2
45,2,1,2,1,6199.68457267667,0.82
19,1,0,1,1,6200.101146298613,0.17
21,1,0,2,1,6200.692521411231,0.37
9,0,1,0,1,6235.306181316039,0.18
33,2,0,0,1,6236.774301419295,0.25
25,1,1,0,1,6236.8226511821595,0.23
17,1,0,0,1,6238.957633706048,0.17
14,0,1,3,0,6240.825358037978,0.42
38,2,0,3,0,6241.17843022253,1.47
30,1,1,3,0,6241.334516812243,1.42
15,0,1,3,1,6242.020739181547,0.65
31,1,1,3,1,6242.843951841767,1.63
22,1,0,3,0,6243.032778696784,0.75
39,2,0,3,1,6243.1556207299855,1.27
46,2,1,3,0,6243.899756970587,0.68
12,0,1,2,0,6244.130168516211,0.38
23,1,0,3,1,6245.046172862086,0.67
36,2,0,2,0,6245.555858082911,0.62
28,1,1,2,0,6245.574482789953,0.6
44,2,1,2,0,6247.4870946619185,0.67
7,0,0,3,1,6247.69581584536,1.05
3,0,0,1,1,6248.470967778809,0.13
20,1,0,2,0,6248.4862934985185,0.38
5,0,0,2,1,6249.5440210908555,0.48
10,0,1,1,0,6255.086664687407,0.13
26,1,1,1,0,6256.517380505578,0.23
34,2,0,1,0,6256.585440853143,0.3
18,1,0,1,0,6258.135767869014,0.2
1,0,0,0,1,6294.728937766455,0.12
6,0,0,3,0,6298.046278942609,0.43
8,0,1,0,0,6301.088293379873,0.08
24,1,1,0,0,6302.532730069916,0.08
32,2,0,0,0,6302.773322102465,0.02
16,1,0,0,0,6303.825668084613,0.0
40,2,1,0,0,6304.364304399956,0.08
4,0,0,2,0,6307.507138318222,0.48
2,0,0,1,0,6314.232360721374,0.2
0,0,0,0,0,6359.419431248787,0.05
