,p,q,P,Q,aic,culc_time_in_minutes
53,1,3,2,1,5808.067097401026,0.82
47,1,2,2,1,5810.107250927174,0.92
41,1,1,2,1,5810.328093850657,1.32
35,1,0,2,1,5811.39804363769,1.22
29,0,4,2,1,5811.801703819228,1.12
51,1,3,1,1,5813.822185991944,0.38
39,1,1,1,1,5814.937011084064,0.52
45,1,2,1,1,5815.396755241492,0.58
33,1,0,1,1,5816.406492300164,0.45
27,0,4,1,1,5819.282635553699,0.47
59,1,4,2,1,5820.821844744242,1.25
49,1,3,0,1,5822.40362564431,0.32
57,1,4,1,1,5823.588883006629,0.53
43,1,2,0,1,5824.341872244095,0.5
25,0,4,0,1,5825.491015253726,0.5
37,1,1,0,1,5825.574751866184,0.33
23,0,3,2,1,5825.902664270837,0.95
31,1,0,0,1,5826.194855061251,0.25
21,0,3,1,1,5828.457723469999,0.27
55,1,4,0,1,5831.69461673751,0.77
19,0,3,0,1,5839.475972497654,0.4
17,0,2,2,1,5854.2388668659105,0.68
52,1,3,2,0,5855.721054661096,1.18
46,1,2,2,0,5857.374670574572,1.18
28,0,4,2,0,5857.665199392131,0.88
40,1,1,2,0,5858.466440149291,0.72
34,1,0,2,0,5859.214212068682,1.02
58,1,4,2,0,5859.759761405278,0.97
15,0,2,1,1,5861.696593979159,0.25
22,0,3,2,0,5868.069106195626,0.63
13,0,2,0,1,5868.923764924522,0.28
50,1,3,1,0,5895.373338311787,0.47
26,0,4,1,0,5896.526413906887,0.25
38,1,1,1,0,5896.858007225534,0.48
44,1,2,1,0,5897.277775157621,0.43
32,1,0,1,0,5897.647115935388,0.37
16,0,2,2,0,5898.655423386132,0.55
56,1,4,1,0,5898.739225094403,0.33
11,0,1,2,1,5898.9149683926535,0.47
9,0,1,1,1,5906.349082718547,0.18
20,0,3,1,0,5908.279315587886,0.27
7,0,1,0,1,5913.086345582672,0.22
14,0,2,1,0,5935.751314348802,0.17
10,0,1,2,0,5944.164095210499,0.38
8,0,1,1,0,5980.618305335586,0.13
36,1,1,0,0,6021.355345437707,0.18
42,1,2,0,0,6021.432644164326,0.2
48,1,3,0,0,6022.061317996516,0.15
54,1,4,0,0,6023.696730187969,0.15
30,1,0,0,0,6025.311847832463,0.07
24,0,4,0,0,6030.065471973949,0.2
18,0,3,0,0,6035.320604996112,0.13
5,0,0,2,1,6063.714404143134,0.42
12,0,2,0,0,6065.342552042265,0.05
3,0,0,1,1,6069.498313997432,0.17
1,0,0,0,1,6072.355362138511,0.15
4,0,0,2,0,6105.200978510087,0.9
6,0,1,0,0,6114.562962790146,0.07
2,0,0,1,0,6144.145451541703,0.32
0,0,0,0,0,6273.744070807506,0.02
