,p,q,P,Q,aic,culc_time_in_minutes
45,1,3,1,1,6642.517978639395,0.35
27,1,0,1,1,6644.09145227758,0.22
47,1,3,2,1,6644.156669014051,0.8
33,1,1,1,1,6644.614961839731,0.25
29,1,0,2,1,6644.911529521061,0.7
35,1,1,2,1,6645.084016230214,0.7
39,1,2,1,1,6646.7477472561095,0.32
41,1,2,2,1,6648.182425935855,0.8
23,0,3,2,1,6648.466065248915,0.62
21,0,3,1,1,6649.206739646843,0.22
17,0,2,2,1,6658.746476936043,0.5
15,0,2,1,1,6659.5932545760315,0.2
11,0,1,2,1,6671.4895210727955,0.45
9,0,1,1,1,6672.145953097948,0.15
43,1,3,0,1,6674.733770906374,0.32
31,1,1,0,1,6675.563956103884,0.28
25,1,0,0,1,6676.109862593326,0.23
37,1,2,0,1,6677.408862031834,0.35
19,0,3,0,1,6678.93114358753,0.2
46,1,3,2,0,6683.7472487933865,0.75
34,1,1,2,0,6683.906599755719,0.65
40,1,2,2,0,6686.465299765716,0.73
28,1,0,2,0,6686.806060464058,0.27
22,0,3,2,0,6688.585285810763,0.25
13,0,2,0,1,6688.791543771271,0.18
16,0,2,2,0,6698.859594170536,0.22
7,0,1,0,1,6703.487015830438,0.15
26,1,0,1,0,6707.301393934475,0.23
44,1,3,1,0,6708.374881897078,0.28
38,1,2,1,0,6708.883838984149,0.32
32,1,1,1,0,6709.388614865104,0.12
20,0,3,1,0,6710.249552656061,0.23
10,0,1,2,0,6713.153347142102,0.15
14,0,2,1,0,6720.924302870788,0.05
8,0,1,1,0,6738.73553766242,0.05
30,1,1,0,0,6759.621609491631,0.08
42,1,3,0,0,6761.107717429513,0.15
24,1,0,0,0,6761.125346170899,0.12
36,1,2,0,0,6761.660451634025,0.1
5,0,0,2,1,6767.393051029914,0.4
18,0,3,0,0,6769.39559661562,0.03
3,0,0,1,1,6770.432153545273,0.08
12,0,2,0,0,6777.01119454832,0.07
1,0,0,0,1,6793.791097128013,0.13
6,0,1,0,0,6797.711581849514,0.02
4,0,0,2,0,6798.881101342324,1.02
2,0,0,1,0,6832.346156243609,0.22
0,0,0,0,0,6901.335733488428,0.02
